Word,Definition
dinnertime,the customary or habitual hour for the evening meal
him”—he,unavailable
bells,a hollow device made of metal that makes a ringing sound when struck
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
piled,arrange in stacks
breakfast,the first meal of the day (usually in the morning)
popped,bulge outward
celebrate,behave as expected during of holidays or rites
dining,the act of eating dinner
ironed,press and smooth with a heated iron
freshly,very recently
patients,a person who requires medical care
hazel,Australian tree grown especially for ornament and its fine-grained wood and bearing edible nuts
nose,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
pert,characterized by a lightly pert and exuberant quality
lugged,carry with difficulty
steps,a flight of stairs or a flight of steps
joy,the emotion of great happiness
angels,spiritual being attendant upon God
rudolph,unavailable
straight,a heterosexual person; someone having a sexual orientation to persons of the opposite sex
condition,a state at a particular time
chuck,informal terms for a meal
dug,an udder or breast or teat
revealing,the speech act of making something evident
belly,the region of the body of a vertebrate between the thorax and the pelvis
wool,a fabric made from the hair of sheep
jacket,a short coat
longer,a person with a strong desire for something
mahogany,wood of any of various mahogany trees; much used for cabinetwork and furniture
spoons,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
knives,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle
forks,cutlery used for serving and eating food
polishing,the work of making something smooth and shiny by rubbing or waxing it
dreams,a series of mental images and emotions occurring during sleep
dizzy,make dizzy or giddy
despite,lack of respect accompanied by a feeling of intense dislike
cook,someone who cooks food
figured,judge to be probable
educated,give an education to
thrilled,cause to be thrilled by some perceptual input
chattered,click repeatedly or uncontrollably
rehearsed,engage in a rehearsal (of)
death,the event of dying or departure from life
carve,form by carving
birds,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
bits,a small piece or quantity of something
penknife,a small pocketknife; originally used to cut quill pens
oatmeal,porridge made of rolled oats
problem,a state of difficulty that needs to be resolved
dare,a challenge to do something dangerous or foolhardy
run,a score in baseball made by a runner touching all four bases safely
struggling,make a strenuous or labored effort
snap,the act of catching an object with the hands
rubbery,having an elastic texture resembling rubber in flexibility or toughness
chopped,cut into pieces
simmered,boil slowly at low temperature
bean,any of various edible seeds of plants of the family Leguminosae used for food
dirt,the part of the earth's surface consisting of humus and disintegrated rock
dragged,"pull, as against a resistance"
step,any maneuver made as part of progress toward a goal
mouth,the opening through which food is taken in and vocalizations emerge
scrubbed,clean with hard rubbing
vacuumed,clean with a vacuum cleaner
beans,any of various edible seeds of plants of the family Leguminosae used for food
gravy,"a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats"
dusted,remove the dust from
roasted,"cook with dry heat, usually in an oven"
ideas,the content of cognition; the main thing you are thinking about
scarred,mark with a scar
cuts,a share of the profits
knife,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle
gleamed,"be shiny, as if wet"
chew,a wad of something chewable as tobacco
rude,socially incorrect in behavior
land,the land on which real estate is located
desert,arid land with little or no vegetation
blowing,processing that involves blowing a gas
tumbleweed,any plant that breaks away from its roots in autumn and is driven by the wind as a light rolling mass
shift,an event in which something is displaced without rotation
emotions,any strong feeling
disaster,a state of extreme (usually irremediable) ruin and misfortune
follow,"to travel behind, go after, come after"
decide,"reach, make, or come to a decision about something"
determined,"establish after a calculation, investigation, experiment, survey, or study"
softly,with low volume
snoring,the act of snoring or producing a snoring sound
passed,go across or through
pills,something that resembles a tablet of medicine in shape or size
ruin,an irrecoverable state of devastation and destruction
pick,the person or thing chosen or selected
loses,"fail to keep or to maintain; cease to have, either physically or in an abstract sense"
polished,make (a surface) shine
planting,the act of fixing firmly in place
places,a point located with respect to surface features of some region
snow,precipitation falling from clouds in the form of ice crystals
patiently,with patience; in a patient manner
slip,a socially awkward or tactless act
’cause,unavailable
glaring,look at with a fixed gaze
whined,move with a whining sound
blushed,"turn red, as if in embarrassment or shame"
drove,a group of animals (a herd or flock) moving together
sight,an instance of visual perception
wheelchair,a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant
clasped,hold firmly and tightly
fleshy,usually describes a large person who is fat but has a large frame to carry it
trailing,the pursuit (of a person or animal) by following tracks or marks they left behind
ushered,"take (someone) to their seats, as in theaters or auditoriums"
cooed,speak softly or lovingly
spanking,the act of slapping on the buttocks
insisted,be emphatic or resolute and refuse to budge
gurgled,flow in an irregular current with a bubbling noise
happily,in a joyous manner
playpen,a portable enclosure in which babies may be left to play
hesitantly,with hesitation; in a hesitant manner
fingers,any of the terminal members of the hand (sometimes excepting the thumb)
trembled,move or jerk quickly and involuntarily up and down or sideways
toy,an artifact designed to be played with
chewing,biting and grinding food in your mouth so it becomes soft enough to swallow
apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
pamphlet,a small book usually having a paper cover
burn,pain that feels hot as if it were on fire
turns,a circular segment of a curve
titled,give a title to
hibernation,the torpid or resting state in which some animals pass the winter
bolts,a discharge of lightning accompanied by thunder
cloth,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
crowded,"cause to herd, drive, or crowd together"
bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
thinner,a diluting agent
deck,any of various platforms built into a vessel
knocked,deliver a sharp blow or push :
stocking,close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)
choices,the person or thing chosen or selected
slumped,assume a drooping posture or carriage
extra,a minor actor in crowd scenes
dollar,the basic monetary unit in many countries; equal to 100 cents
snuck,to go stealthily or furtively
letter,a written message addressed to a person or organization
instructed,impart skills or knowledge to
closet,a small room (or recess) or cabinet used for storage space
order,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed"
cell,any small compartment
measuring,the act or process of assigning numbers to phenomena according to a rule
mulling,reflect deeply on a subject
secret,something that should remain hidden from others (especially information that is not to be passed on)
sweetly,in an affectionate or loving manner (`sweet' is sometimes a poetic or informal variant of `sweetly'); ; - Shakespeare
attention,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
tape,a long thin piece of cloth or paper as used for binding or fastening
measure,any maneuver made as part of progress toward a goal
practical,concerned with actual use or practice
keeps,the financial means whereby one lives
wear,impairment resulting from long use
sounding,a measure of the depth of water taken with a sounding line
coal,fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
dumped,throw away as refuse
gifts,something acquired without compensation
investigations,an inquiry into unfamiliar or questionable activities
armful,the quantity that can be contained in the arms
glue,cement consisting of a sticky substance that is used as an adhesive
present,the period of time that is happening now; any continuous stretch of time including the moment of speech
sisterly,like or characteristic of or befitting a sister
needs,a condition requiring relief
distraction,mental turmoil
sled,a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow
easier,posing no difficulty; requiring little effort
load,weight to be borne or conveyed
compass,navigational instrument for finding directions
eraser,an implement used to erase something
hardly,only a very short time before; ; ; ; ; - W.B.Yeats
brand,a name given to a product or service
especially,to a distinctly greater extent or degree than is common
terrible,causing fear or dread or terror
hang,a special way of doing something
evenings,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
rings,gymnastic apparatus consisting of a pair of heavy metal circles (usually covered with leather) suspended by ropes; used for gymnastic exercises
linked,make a logical or causal connection
colorful,having striking color
broke,terminate
decorate,"make more attractive by adding ornament, colour, etc."
yell,a loud utterance; often in protest or opposition
chains,metal shackles; for hands or legs
pencil,a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
suspected,imagine to be the case or true or probable
snacks,a light informal meal
roads,a partly sheltered anchorage
sand,a loose material consisting of grains of rock or coral
slowly,without speed (`slow' is sometimes used informally for `slowly')
linking,make a logical or causal connection
sticking,"put, fix, force, or implant"
basement,the lowermost portion of a structure partly or wholly below ground level; often used for storage
near,move towards
barrier,a structure or object that impedes free movement
girls,a young woman
storming,"behave violently, as if in state of a great anger"
area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
wooded,covered with growing trees and bushes etc
knees,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
floorboards,a board in the floor
toothbrush,small brush; has long handle; used to clean teeth
wash,a thin coat of water-base paint
rag,a small piece of cloth or paper
aching,a dull persistent (usually moderately intense) pain
branches,a division of some larger or more complex organization
chain,a series of things depending on each other as if linked together
visits,the act of going to see some person or place or thing for a short time
job,the principal activity in your life that you do to earn money
ground,the solid part of the earth's surface
gamely,in a plucky manner
brother,a male with the same parents as someone else
bursting,"come open suddenly and violently, as if from internal pressure"
trimmed,remove the edges from and cut down to the desired size
magic,any art that invokes supernatural powers
appear,give a certain impression or have a certain outward aspect
lump,a compact mass
threw,propel through the air
loaded,fill or place a load on
paperboy,a boy who sells or delivers newspapers
homemade,made or produced in the home or by yourself
excitement,the feeling of lively and cheerful joy
understand,know and comprehend the nature or meaning of
waved,signal with the hands or nod
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
fir,nonresinous wood of a fir tree
grinned,"to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
jacks,a game in which jackstones are thrown and picked up in various groups between bounces of a small rubber ball
studied,consider in detail and subject to an analysis in order to discover essential features or meaning
force,a powerful effect or influence
laugh,the sound of laughing
rimmed,run around the rim of
shoulders,the part of the body between the neck and the upper arm
meeting,a formally arranged gathering
fears,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
decorated,"make more attractive by adding ornament, colour, etc."
equally,to the same degree (often followed by `as')
plaid,a cloth having a crisscross design
lap,the upper side of the thighs of a seated person
smaller,small or little relative to something else
trees,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
miss,a young woman
beat,a regular route for a sentry or policeman
doll,a small replica of a person; used as a toy
bouncing,rebounding from an impact (or series of impacts)
painted,make a painting
smelled,inhale the odor of; perceive by the olfactory sense
sausage,highly seasoned minced meat stuffed in casings
links,a golf course that is built on sandy ground near a shore
pancakes,a flat cake of thin batter fried on both sides on a griddle
rummaging,search haphazardly
ending,the end of a word (a suffix or inflectional ending or final morpheme)
sinking,a descent as through liquid (especially through water)
cringed,"draw back, as with fear or pain"
lower,the lower of two berths
pew,long bench with backs; used in church by the congregation
saved,"save from ruin, destruction, or harm"
hoping,expect and wish
insincere,lacking sincerity
sweeping,the act of cleaning with a broom
stockings,close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)
sleigh,a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow
believed,accept as true; take to be true
younger,used of the younger of two persons of the same name especially used to distinguish a son from his father
snipping,a small piece of anything (especially a piece that has been snipped off)
clashed,crash together with violent impact
headline,the heading or caption of a newspaper article
drank,take in liquids
ruined,destroy completely; damage irreparably
fingered,feel or handle with the fingers
fabric,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
clanking,make a clank
tires,hoop that covers a wheel
abandon,the trait of lacking restraint or control; reckless freedom from inhibition or worry
jumps,a sudden and decisive increase
habit,an established custom
brightly,with brightness
patted,"pat or squeeze fondly or playfully, especially under the chin"
sparkling,a rapid change in brightness; a brief spark or flash
trash,worthless material that is to be disposed of
guilty,responsible for or chargeable with a reprehensible act
poinsettias,tropical American plant having poisonous milk and showy tapering usually scarlet petallike leaves surrounding small yellow flowers
dozens,a large number or amount
surprise,the astonishment you feel when something totally unexpected happens to you
glad,any of numerous plants of the genus Gladiolus native chiefly to tropical and South Africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated
hurry,a condition of urgency making it necessary to hurry
garland,United States singer and film actress (1922-1969)
model,a hypothetical description of a complex entity or process
airplane,an aircraft that has a fixed wing and is powered by propellers or jets
lure,qualities that attract by seeming to promise some kind of reward
meet,a meeting at which a number of athletic contests are held
mantel,shelf that projects from wall above fireplace
falling,descend in free fall under the influence of gravity
hugged,"squeeze (someone) tightly in your arms, usually with fondness"
candlelight,the light provided by a burning candle
shine,the quality of being bright and sending out rays of light
stronger,having strength or power greater than average or expected
drill,a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
stretching,act of expanding by lengthening or widening
sergeant,any of several noncommissioned officer ranks in the Army or Air Force or Marines ranking above a corporal
rationing,the act of rationing
lie,a statement that deviates from or perverts the truth
tablets,a slab of stone or wood suitable for bearing an inscription
doses,a measured portion of medicine taken at any one time
stretches,a large and unbroken expanse or distance
bother,an angry disturbance
hobble,a shackle for the ankles or feet
stuck,"put, fix, force, or implant"
marry,take in marriage
relieved,"provide physical relief, as from pain"
counted,determine the number or amount of
joined,become part of; become a member of a group or organization
barking,speak in an unfriendly tone
doorway,the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close
daring,a challenge to do something dangerous or foolhardy
foot,the part of the leg of a human being below the ankle joint
ignored,refuse to acknowledge
pants,underpants worn by women
mortifying,practice self-denial of one's body and appetites
screamed,utter a sudden loud cry
pack,a large indefinite number
weeping,the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
appearing,formal attendance (in court or at a hearing) of a party in an action
boomed,"make a resonant sound, like artillery"
led,diode such that light emitted at a p-n junction is proportional to the bias current; color depends on the material used
properly,in the right manner
discovered,"discover or determine the existence, presence, or fact of"
relatives,a person related by blood or marriage
prescribed,issue commands or orders for
return,document giving the tax collector information about the taxpayer's tax liability
applied,put into service; make work or employ for a particular purpose or for its inherent or natural purpose
ointments,semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation
changed,cause to change; make different; cause a transformation
bandages,a piece of soft material that covers and protects an injured part of the body
heck,unavailable
wait,time during which some action is awaited
escape,the act of escaping physically
doors,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
argued,present reasons and arguments
suggestions,an idea that is suggested
prevent,keep from happening or arising; make impossible
arguing,a contentious speech act; a dispute where there is strong disagreement
skinny,confidential information about a topic or person
closed,move so that an opening or passage is obstructed; make shut
checkers,a checkerboard game for two players who each have 12 pieces; the object is to jump over and so capture the opponent's pieces
game,a contest with rules to determine a winner
concentrated,"make denser, stronger, or purer"
imagine,form a mental image of something that is not present or that is not the case
child,a young person of either sex
silence,the state of being silent (as when no one is speaking)
coloring,a digestible substance used to give color to food
main,any very large body of (salt) water
colored,a United States term for Blacks that is now considered offensive
stairway,a way of access (upward and downward) consisting of a set of steps
person,a human being
cousin,the child of your aunt or uncle
closing,the act of closing something
worst,the least favorable outcome
sad,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti
lick,a salt deposit that animals regularly lick
destroyed,"do away with, cause the destruction or undoing of"
reputation,the state of being held in high esteem and honor
sworn,utter obscenities or profanities
advice,a proposal for an appropriate course of action
point,a geometric element that has position but no extension
upstairs,the part of a building above the ground floor
lamely,in a weak and unconvincing manner
picturing,visual imagery
brushed,"rub with a brush, or as if with a brush"
react,show a response or a reaction to something
fits,a display of bad temper
blow,a powerful stroke with the fist or a weapon
soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
slight,a deliberate discourteous act (usually as an expression of anger or disapproval)
replacement,the act of furnishing an equivalent person or thing in the place of another
combed,straighten with a comb
oldest,(used especially of persons) having lived for a relatively long time or attained a specific age
pit,a sizeable hole (usually in the ground)
backyard,the grounds in back of a house
jump,a sudden and decisive increase
match,lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
shown,give an exhibition of to an interested audience
stumbled,walk unsteadily
gobbled,eat hastily without proper chewing
slice,a share of something
taking,the act of someone who picks up or takes something
flame,the process of combustion of inflammable materials producing heat and light and (often) smoke
opening,an open or empty space in or between things
lily,any liliaceous plant of the genus Lilium having showy pendulous flowers
tiger,a fierce or audacious person
lighting,having abundant light or illumination
balls,round object that is hit or thrown or kicked in games
scrunching,make a noise typical of an engine lacking lubricants
memory,something that is remembered
erase,remove from memory or existence
blew,exhale hard
catch,a drawback or difficulty that is not readily evident
ice,water frozen in the solid state
skater,someone who skates
slightly,to a small degree or extent
ducked,to move (the head or body) quickly downwards or away
beaten,"come out better in a competition, race, or conflict"
scramble,an unceremonious and disorganized struggle
cracking,a sudden sharp noise
weight,the vertical force exerted by a mass as a result of gravity
solid,matter that is solid at room temperature and pressure
block,a solid piece of something (usually having flat rectangular sides)
froze,stop moving or become immobilized
degrees,a position on a scale of intensity or amount or quality
ways,structure consisting of a sloping way down to the water from the place where ships are built or repaired
push,the act of applying force in order to move something away
reason,a rational motive for a belief or action
admitted,declare to be true or admit the existence or reality or truth of
toughness,enduring strength and energy
provoked,"call forth (emotions, feelings, and responses)"
bewildered,be a mystery or bewildering to
lane,a narrow way or road
tripping,miss a step and fall or nearly fall
pushing,the act of applying force in order to move something away
stuff,the tangible substance that goes into the makeup of a physical object
hit,(baseball) a successful stroke in an athletic contest (especially in baseball)
spurting,gush forth in a sudden stream or jet
drown,cover completely or make imperceptible
blood,"the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets"
lies,a statement that deviates from or perverts the truth
spreading,process or result of distributing or extending over a wide expanse of space
racing,the sport of engaging in contests of speed
makeshift,something contrived to meet an urgent need or emergency
clothes,clothing in general
scattered,to cause to separate and go in different directions
breathing,the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation
skated,move along on skates
faster,acting or moving or capable of acting or moving quickly
skates,sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs
unseasonably,not in accordance with the season
warm,get warm or warmer
freezing,the withdrawal of heat to change something from a liquid to a solid
portion,something determined in relation to something that includes it
purposely,with intention; in an intentional manner
crashed,fall or come down violently
deserved,be worthy or deserving
scrambled,to move hurriedly
glided,move smoothly and effortlessly
sending,the act of causing something to go (especially messages)
rocks,a lump or mass of hard consolidated mineral matter
reaching,the act of physically reaching or thrusting out
taunted,harass with persistent criticism or carping
decisively,with firmness
exhausted,wear out completely
girl,a young woman
snowballs,plant having heads of fragrant white trumpet-shaped flowers; grows in sandy arid regions
skating,the sport of gliding on skates
fooling,make a fool or dupe of
doubled,increase twofold
clutching,take hold of; grab
strictly,restricted to something
forbidden,command against
class,a collection of things sharing a common attribute
guts,fortitude and determination
hate,the emotion of intense dislike; a feeling of dislike so strong that it demands action
pins,a piece of jewelry that is pinned onto the wearer's garment
tucked,fit snugly into
bank,sloping land (especially the slope beside a body of water)
chatted,talk socially without exchanging too much information
habits,an established custom
giant,any creature of exceptional size
bowling,a game in which balls are rolled at an object or group of objects with the aim of knocking them over or moving them
nuns,a woman religious
drying,remove the moisture from and make dry
mimeograph,a rotary duplicator that uses a stencil through which ink is pressed (trade mark Roneo)
key,metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
confident,having or marked by confidence or assurance
disrespectful,exhibiting lack of respect; rude and discourteous
marched,march in a procession
stairs,a flight of stairs or a flight of steps
machine,any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks
peeked,throw a glance at; take a brief look at
grateful,feeling or showing gratitude
tutor,"a person who gives private instruction (as in singing, acting, etc.)"
awake,stop sleeping
pot,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid
drunk,a chronic drinker
unfocused,(of an image) not being in or brought into focus
embarrassed,cause to be embarrassed; cause to feel self-conscious
smiles,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
assignment,a duty that you are assigned to perform (especially in the armed forces)
instantly,without delay or hesitation; with no time intervening
nah,unavailable
approved,give sanction to
graduate,a person who has received a degree from a school (high school or college or university)
pity,a feeling of sympathy and sorrow for the misfortunes of others
writes,produce a literary work
driver,the operator of a motor vehicle
pleasure,a fundamental feeling that is hard to define but that people desire to experience
expecting,regard something as probable or likely
tapped,cut a female screw thread with a tap
slapped,"hit with something flat, like a paddle or the open hand"
halfway,equally distant from the extremes
conversation,the use of speech for informal exchange of views or ideas or information etc.
defended,argue or speak in defense of
suffering,a state of acute pain
attended,"be present at (meetings, church services, university), etc."
sting,a kind of pain; something as sudden and painful as being stung
clearing,a tract of land with few or no trees in the middle of a wooded area
honest,not disposed to cheat or defraud; not deceptive or fraudulent
belt,endless loop of flexible material between two rotating shafts or pulleys
whip,an instrument with a handle and a flexible lash that is used for whipping
smudge,a smoky fire to drive away insects
lipstick,makeup that is used to color the lips
dish,a piece of dishware normally used as a container for holding or serving food
horrified,fill with apprehension or alarm; cause to be unpleasantly surprised
final,the final match between the winners of all previous matches in an elimination tournament
washed,clean with some chemical process
threading,"to move or cause to move in a sinuous, spiral, or circular course"
needle,the leaf of a conifer
strode,walk with long steps
messages,a communication (usually brief) that is written or spoken or signaled
receiving,get something; come into possession of
wife,a married woman; a man's partner in marriage
scientists,a person with advanced knowledge of one or more sciences
forever,for a limitless time; ; - P.P.Bliss
promises,a verbal commitment by one person to another agreeing to do (or not to do) something in the future
swear,utter obscenities or profanities
bathrobe,a loose-fitting robe of towelling; worn after a bath or swim
mid,used in combination to denote the middle
sharp,a musical notation indicating one half step higher than the note named
branded,burn with a branding iron to indicate ownership; of animals
chaos,a state of extreme confusion and disorder
faking,make a copy of with the intent to deceive
medical,a thorough physical examination; includes a variety of tests depending on the age and sex and health of the person
gash,a wound made by cutting
attempt,earnest and conscientious activity intended to do or accomplish something
cause,events that provide the generative force that is the origin of something
usual,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure
economy,the system of production and distribution and consumption
cocoa,a beverage made from cocoa powder and milk and sugar; usually drunk hot
vet,a doctor who practices veterinary medicine
honked,make a loud noise
tightly,in a tight or constricted manner
t,a base found in DNA (but not in RNA) and derived from pyrimidine; pairs with adenine
hought,unavailable
stand,a support or foundation
film,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
tracks,a line or route along which something travels or moves
waist,the narrowing of the body between the ribs and hips
caboose,the area for food preparation on a ship
hurting,a symptom of some physical hurt or disorder
center,an area that is approximately central within some larger region
grow,"pass into a condition gradually, take on a specific property or attribute; become"
flee,run away quickly
protect,"shield from danger, injury, destruction, or damage"
gentle,cause to be more favorably inclined; gain the good will of
testing,the act of subjecting to experimental test in order to determine how well something works
lights,(physics) electromagnetic radiation that can produce a visual sensation
doctors,a licensed medical practitioner
listed,give or make a list of; name individually; give the names of
flicked,flash intermittently
barreled,put in barrels
chicken,the flesh of a chicken used for food
farmer,a person who operates a farm
marquee,large and often sumptuous tent
villain,a wicked or evil person; someone who does evil deliberately
touching,the event of something coming in contact with the body
points,a geometric element that has position but no extension
nursery,a child's room for a baby
trains,public transport provided by a line of railway cars coupled together and drawn by a locomotive
rooster,adult male chicken
calmer,not agitated; without losing self-possession
mess,a state of confusion and disorderliness
pfft,unavailable
shushing,silence (someone) by uttering `shush!'
dripping,a liquid (as water) that flows in drops (as from the eaves of house)
bubbles,"a hollow globule of gas (e.g., air or carbon dioxide)"
soap,a cleansing agent made from the salts of vegetable or animal fats
pinned,to hold fast or prevent from moving
join,the shape or manner in which things come together and a connection is made
angry,feeling or showing anger
coop,a farm building for housing poultry
railroad,line that is the commercial organization responsible for operating a system of transportation for trains that pull passengers or freight
crossing,traveling across
melancholia,extreme depression characterized by tearful sadness and irrational fears
lowered,move something or somebody to a lower position
rope,a strong line
bump,a lump on the body caused by a blow
moaning,"indicate pain, discomfort, or displeasure"
ages,how long something has existed
treated,interact in a certain way
physician,a licensed medical practitioner
taught,impart skills or knowledge to
plays,a dramatic work intended for performance by actors on a stage
alive,possessing life
lectures,a speech that is open to the public
bandage,a piece of soft material that covers and protects an injured part of the body
eggshells,the exterior covering of a bird's egg
tiptoeing,walk on one's toes
university,the body of faculty and students at a university
confused,mistake one thing for another
turning,the act of changing or reversing the direction of the course
defeated,people who are defeated
voices,the distinctive quality or pitch or condition of a person's speech
stiffly,in a stiff manner
riding,the sport of siting on the back of a horse while controlling its movements
saddle,a seat for the rider of a horse or camel
entered,to come or go into
news,information about recent and important events
matted,twist together or entwine into a confusing mass
crept,move slowly; in the case of people or animals with the body near the ground
taxi,a car driven by a person whose job is to take passengers where they want to go in exchange for money
cure,a medicine or therapy that cures disease or relieve pain
neighborhood,a surrounding or nearby region
articles,nonfictional prose forming an independent part of a publication
brushing,the act of brushing your teeth
begging,a solicitation for money or food (especially in the street by an apparently penniless person)
mending,garments that must be repaired
shaped,shape or influence; give direction to
ski,narrow wood or metal or plastic runners used in pairs for gliding over snow
cleaning,the act of making something clean
vegetables,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
plant,buildings for carrying on industrial labor
sisters,a female person who has the same parents as another person
examine,consider in detail and subject to an analysis in order to discover essential features or meaning
inch,a unit of length equal to one twelfth of a foot
tummy,slang for a paunch
tasty,pleasing to the sense of taste
noodle,a ribbonlike strip of pasta
injury,any physical damage to the body caused by violence or accident or fracture etc.
experienced,go or live through
psychiatry,the branch of medicine dealing with the diagnosis and treatment of mental disorders
trained,create by training and teaching
wince,the facial expression of sudden pain
birth,the time when something begins (especially life)
events,something that happens at a given place and time
kindly,showing or motivated by sympathy and understanding and generosity
innate,not established by conditioning or learning
tendency,an attitude of mind especially one that favors one alternative over others
greatly,to an extraordinary extent or degree
exacerbated,make worse
major,a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
true,proper alignment; the property possessed by something that is in correct or proper alignment
gaunt,very thin especially from disease or hunger or cold
listening,the act of hearing attentively
ashen,anemic looking from illness or emotion; ; ; ; ; - Mary W. Shelley
plowed,to break and turn over earth especially with a plow
dustpan,the quantity that a dustpan will hold
kid,a young person of either sex
steadily,at a steady rate or pace
wastebasket,a container with an open top; for discarded paper and other rubbish
mainly,for the most part
swept,sweep across or over
crusty,having a hardened crust as a covering
bread,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
wrinkling,gather or contract into wrinkles or folds; pucker
truth,a fact that has been verified
meetings,a formally arranged gathering
placing,put into a certain place or abstract location
sopped,give a conciliatory gift or bribe to
pickle,vegetables (especially cucumbers) preserved in brine or vinegar
juice,the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
unlocking,open the lock of
guest,a visitor to whom hospitality is extended
beginning,the event consisting of the start of something
furious,marked by extreme and violent energy
throb,a deep pulsating type of pain
doorbell,a push button at an outer door that gives a ringing or buzzing signal when pushed
packed,arrange in a container
letting,property that is leased or rented out or let
silently,without speaking
moments,a particular point in time
jumping,the act of participating in an athletic competition in which you must jump
fallen,descend in free fall under the influence of gravity
ah,unavailable
packing,any material used especially to protect something
accidentally,without advance planning
policy,a plan of action adopted by an individual or social group
avoiding,stay clear from; keep away from; keep out of the way of someone or something
knee,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
grader,a judge who assigns grades to something
approached,move towards
speaking,the utterance of intelligible speech
remembering,the cognitive processes whereby past experience is remembered
driving,hitting a golf ball off of a tee with a driver
horses,solid-hoofed herbivorous quadruped domesticated since prehistoric times
eventually,after an unspecified period of time or an especially long delay
reassuring,cause to feel sure; give reassurance to
tutoring,be a tutor to someone; give individual instruction
waited,stay in one place and anticipate or expect something
paying,"give money, usually in exchange for goods or services"
saying,a word or phrase that particular people use in particular situations
lips,either of two fleshy folds of tissue that surround the mouth and play a role in speaking
pursed,contract one's lips into a rounded shape
stopping,fastener consisting of a narrow strip of welded metal used to join steel members
patch,a small contrasting part of something
middle,an area that is approximately central within some larger region
reconsidered,consider again; give new consideration to; usually with a view to changing
expulsion,the act of forcing out someone or something
medicine,the branches of medical science that deal with nonsurgical techniques
professor,someone who is a member of the faculty at a college or university
proudly,with pride; in a proud manner
wisdom,accumulated knowledge or erudition or enlightenment
nursemaid,a woman who is the custodian of children
churches,one of the groups of Christians who have their own beliefs and forms of worship
studying,reading carefully with intent to remember
resting,not move; be in a resting position
speaks,express in speech
city,a large and densely populated urban area; may include several independent administrative districts
duet,two items of the same kind
dreaming,imaginative thoughts indulged in while awake
spires,a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top
housekeeper,a servant who is employed to perform domestic task in a household
